company,robot_model,deployment_partner_site,sector,country,first_public_evidence_date,first_evidence_url,source_quality_tier,current_stage,stage_evidence,fleet_size,tasks,hours_throughput_claims,human_oversight,outcome_6mo,outcome_12mo,outcome_18mo,notes_conflicts,record_id,paid_commitment_verified,on_site_verified,partner_confirmed,delivery_verified,continued_beyond_evaluation,conversion_tier,related_party,related_party_type,internal_maker_use,pilot_demo_date,pilot_demo_evidence_url,commitment_date,commitment_evidence_url,operational_evidence_source,last_affirmative_report_date
Figure AI,Figure 02,BMW Group Plant Spartanburg (body shop),Automotive manufacturing,USA (South Carolina),2024-08-06,https://www.press.bmwgroup.com/usa/article/detail/T0444268EN_US/successful-test-of-humanoid-robots-at-bmw-group-plant-spartanburg?language=en_US,partner_statement,discontinued_stalled,"2024-01-18: BMW-Figure commercial agreement announced (Reuters; the cited BMW page covers the Aug 2024 trial, not the agreement); 2024-08-06 BMW confirms multi-week trial (press release above; states no robots then on site, no timetable); 2025-04 Fortune reported pilot was single robot, off-hours initially, short live intervals (Figure threatened suit, per mikekalil.com/blog/figure-03-bmw-spartanburg/); 2025-11-19 Figure says 11-month deployment ended, F.02 retired (figure.ai/news/production-at-bmw); 2026-06-25 BMW confirms Figure 02 supported 30,000+ X3 over ten months (press.bmwgroup.com T0458778EN)","2 robots (per gcn.com, low-tier; unconfirmed); BMW's June 2026 release refers to a single robot; Fortune reported 1 robot","Sheet-metal part loading onto welding fixtures (5mm tolerance), 10-hr shifts Mon-Fri","90,000+ parts loaded; 1,250+ runtime hours; 30,000+ X3 vehicles supported (Figure claims; BMW Feb 2026 release T0455868 independently confirms 90,000+ parts and 1,250+ hours; BMW June 2026 confirms 30,000+ X3 / ten months)","Human intervention metric tracked (goal zero per shift, per Figure); task reverted to human workers after Nov 2025 (thefilament.news)",Live-line running claimed by Figure by ~mid-2025 (unverified),"30,000+ X3 supported over 10 months (BMW-confirmed 2026-06)",Robots returned to Figure; task manual again; F.02 retired fleet-wide,"CONFLICT: BMW Aug 2024 said no robots on site/no timetable while Figure implied deployment; Fortune Apr 2025 (single robot, limited scope) vs Figure's fleet framing; BMW June 2026 singular 'the Figure 02 robot' supports Fortune. Paid status never disclosed (subscription model per thefilament.news)",HPR-001,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Figure AI,Figure 03,BMW Group Plant Spartanburg (logistics sequencing),Automotive manufacturing,USA (South Carolina),2026-06-25,https://www.press.bmwgroup.com/global/article/detail/T0458778EN/bmw-group-advances-the-use-of-physical-ai-in-production-with-figure-03-project-in-spartanburg?language=en,partner_statement,announced,2026-06-25 BMW announces Figure 03 project for sequencing use case in logistics at Spartanburg (press release),,"Pick unsorted components from containers, sort into sequencing trolleys",,,,,,Figure 03 under evaluation; no contract value disclosed; deployment start date not stated,HPR-002,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Figure AI,Figure 02,Undisclosed second commercial customer (identity not public),Logistics (reported),USA,2025-01-30,https://www.forbes.com/sites/johnkoetsier/2025/01/30/figure-plans-to-ship-100000-humanoid-robots-over-next-4-years/,vendor_claim,pilot_on_site,"2025-01 Brett Adcock announced signing of 2nd commercial customer (LinkedIn post, via Forbes); 2025-04-28 Bloomberg reported UPS in talks with Figure (bloomberg.com/news/articles/2025-04-28/ups-in-talks-with-startup-figure-ai-to-deploy-humanoid-robots); The Robot Report (2025-12-13) states Figure has deployed with a paying customer since Dec 2024 (therobotreport.com/1x-partners-with-eqt-to-roll-out-humanoids-across-its-portfolio-companies/)",,,,,,,,"Customer identity unconfirmed; UPS link is reporting of talks, not confirmed deployment. Figure's 100k-robots-in-4-years is a plan, not a deployment",HPR-003,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Agility Robotics,Digit,"GXO Logistics - SPANX facility, Flowery Branch GA",Contract logistics / apparel fulfillment,USA (Georgia),2024-06-27,https://gxo.com/news_article/gxo-signs-industry-first-multi-year-agreement-with-agility-robotics/,partner_statement,paid_deployment,"Proof-of-concept pilot in late 2023 (reported retrospectively in GXO PR); 2024-06-27 GXO signs multi-year RaaS agreement - industry's first formal commercial humanoid deployment (GXO + Agility PRs; DC Velocity 2024-06-28); 2025-04-08 Business Insider: 2 Digit units at the site, most-progressed GXO humanoid; 2025-11-20 Agility: 100,000 totes milestone (agilityrobotics.com/content/digit-moves-over-100k-totes)","2 units (Apr 2025, Business Insider); 100,000 totes moved (Nov 2025)",Moving totes from AMRs (6 River Systems) to conveyors; later tote stacking to floor locations,"100,000+ totes moved as of Nov 2025 (vendor claim)",Works alongside human employees; cooperatively-safe design goal,"No paid conversion within 6 months of the Dec 6, 2023 pilot announcement (6-month window closed Jun 6, 2024; RaaS agreement signed Jun 27, 2024, ~6.7 months after pilot)","Paid multi-year RaaS agreement (Jun 27, 2024); operating at SPANX facility, Flowery Branch GA","Continued operation reported; 100,000-tote milestone reached Nov 2025 (Agility, via independent press)",Clearest announced->paid conversion in dataset. GXO calls it first formal commercial deployment of humanoids,HPR-004,TRUE,TRUE,TRUE,TRUE,TRUE,qualifying_conversion,FALSE,,FALSE,2023-12-06,https://gxo.com/news_article/gxo-conducting-industry-leading-pilot-of-human-centric-robot/,2024-06-27,https://gxo.com/news_article/gxo-signs-industry-first-multi-year-agreement-with-agility-robotics/,partner+independent,2025-11
Agility Robotics,Digit,"Amazon fulfillment center (Sumner, WA)",E-commerce fulfillment,USA (Washington),2023-10-19,https://www.aboutamazon.com/news/operations/amazon-introduces-new-robotics-solutions,partner_statement,pilot_on_site,2023-10-19 Amazon announces testing Digit (aboutamazon.com; BBC 2023-10-19; TechCrunch 2023-10-21); 2024-09 Agility 'broadens relationship' with Amazon (agilityrobotics.com/content/agility-robotics-broadens-relationship-with-amazon); 2025-12-10 Agility lists Amazon among companies deploying Digit (businesswire Mercado Libre release),,Tote movement/recycling in FC testing,,,Testing continued into 2024,,"Agility says Amazon is a deploying customer (Dec 2025, vendor claim)",Amazon itself has not publicly confirmed conversion to paid deployment; scale unknown. Low-tier aggregators claim multi-FC expansion - unverified,HPR-005,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,2023-10-19,https://www.aboutamazon.com/news/operations/amazon-introduces-new-robotics-solutions,,,unverified,
Agility Robotics,Digit,"Schaeffler plants (Cheraw, SC first)",Automotive components manufacturing,USA (South Carolina),2024-11-13,https://www.agilityrobotics.com/content/agility-robotics-announces-strategic-investment-and-agreement-with-motion-technology-company-schaeffler-group,press_release,pilot_on_site,"2024-11-13 Schaeffler minority investment + agreement to purchase Digits for global plant network (Agility PR; therobotreport.com 2024-11-13); 2025-03-31 Accenture/Schaeffler humanoid program with NVIDIA/Microsoft (businesswire); 2026-03 Digit on production floor at Cheraw SC, 8-hour shifts (humanoidsdaily.com 2026-03-25; robohorizon 2026-03-15 - low tier); Digit v5 at Cheraw (registry.deploy.report 2026-07)",,Tote/bearing handling on production floor; 8-hour shifts (reported),"8-hour shifts (Mar 2026, low-tier reporting)","Human 'Agility contractors' monitor robot workers on site (Cheraw Today via nationaltoday.com, 2026-03-17)",,,On-site production work reported Mar 2026 (~16 months post-agreement),"Schaeffler stated ambition: significant number of humanoids across 100 plants by 2030. Purchase agreement exists; per-site economics undisclosed; low-tier aggregator claims Digit v5 at Cheraw (July 2026), which predates Agility's Sept 2026 Digit 5 unveiling - treat with caution",HPR-006,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,TRUE,strategic partnership (Schaeffler strategic partner of Agility Robotics),FALSE,,,,,,
Agility Robotics,Digit,"Toyota Motor Manufacturing Canada (Cambridge/Woodstock, ON)",Automotive manufacturing,Canada (Ontario),2026-02-19,https://www.therobotreport.com/toyota-motor-manufacturing-canada-deploys-agility-robotics-digit-humanoids/,independent_reporting,paid_deployment,"~2025: year-long pilot with 3 Digits (dev, proof-of-technology, onsite phases, per TMMC); 2026-02-19 commercial agreement signed (Agility PR; Robot Report; TechCrunch; Forbes RaaS deal); plan to deploy 7 more robots v1.1 recode (2026-09-26), evidence separated by phase: (a) PRE-CONTRACT PILOT: year-long pilot with 3 Digits (development, proof-of-technology, onsite phases), per TMMC sources; pilot evidence does not verify the contracted rollout. (b) SIGNED AGREEMENT: commercial RaaS agreement signed Feb 19, 2026 (The Robot Report, independent); TMMC president Tim Hollander quoted confirming the Digit deployment decision in TMMC's manufacturing facilities (partner-issued); agreement independently reported (TechCrunch, Forbes). (c) CONTRACTED ROLLOUT: April 2026 rollout planned (per Agility, Feb 2026); execution and current on-site operating status evidenced ONLY by Agility Robotics present-tense statements (Jun 24 and Jul 14, 2026: 'currently commercially deployed'); no partner-issued or independent source confirmed the April 2026 rollout execution or unit counts by the cutoff. Gate coding: paid_commitment_verified=TRUE on (b); partner_confirmed=TRUE on (b) (deployment decision, not rollout execution); on_site_verified=TRUE and continued_beyond_evaluation=TRUE on (c) (maker-issued only, disclosed here); delivery_verified=TRUE: the RaaS commitment discloses no unit quantity, so the committed scope is the commercial deployment itself.","3 pilot + 7 more planned (phased: 3 units April 2026, remaining 4 pending initial success, per Mugglehead)",Load/unload totes from automated tugger,,,"Year-long pilot in progress (pilot start approx Feb 2025, per TMMC); no paid commitment within 6 months","Commercial RaaS agreement signed Feb 19, 2026 (~12 months after pilot start); deployment decision confirmed by TMMC president","Contracted rollout announced for Apr 2026; execution/current-operation evidence maker-issued only (Agility statements Jun 24 and Jul 14, 2026)",Second clear announced->paid conversion (after GXO). TMMC president quote = partner statement,HPR-007,TRUE,TRUE,TRUE,TRUE,TRUE,qualifying_conversion,FALSE,,FALSE,2025-02,,2026-02-19,https://www.therobotreport.com/toyota-motor-manufacturing-canada-deploys-agility-robotics-digit-humanoids/,maker-issued,2026-07-14
Agility Robotics,Digit,"Mercado Libre fulfillment center, San Antonio TX",E-commerce fulfillment,USA (Texas),2025-12-10,https://www.businesswire.com/news/home/20251210209226/en/Mercado-Libre-and-Agility-Robotics-Announce-Commercial-Agreement-to-Deploy-Humanoid-Robots,press_release,announced,2025-12-10 commercial agreement announced (Business Wire; Robot Report; digitalcommerce360); Digit to integrate into San Antonio facility with possible LatAm expansion v1.1 recode (2026-09-26): announced commercial agreement (Dec 2025); release future-tense ('will integrate'); partner frames as testing; no partner-issued or independent evidence of on-site operation at San Antonio by 2026-09-20 cutoff. Stage recoded paid_deployment -> announced. Tier: commercial_commitment_pending_operation.,,Commerce fulfillment tasks (initial),,,"Commercial agreement announced Dec 10, 2025; no verified on-site operation by the Sep 20, 2026 cutoff",,,Commercial terms undisclosed; outcome not yet determinable (<12 months),HPR-008,TRUE,FALSE,TRUE,FALSE,FALSE,commercial_commitment_pending_operation,FALSE,,FALSE,,,2025-12-10,https://www.businesswire.com/news/home/20251210209226/en/Mercado-Libre-and-Agility-Robotics-Announce-Commercial-Agreement-to-Deploy-Humanoid-Robots,unverified,
Agility Robotics,Digit,Ricoh (service/support partnership),Support services,USA,2024-09-04,https://www.agilityrobotics.com/content/agility-robotics-and-ricoh-partner-to-support-expanding-humanoid-robot-market,press_release,announced,2024-09-04 Ricoh to provide customer support/services for Digit fleet (Agility PR; prnewswire; therobotreport 2024-09-11),,,,,,,,"NOT a deployment: Ricoh is a service partner for Digit support, not a pilot site. Included to correct common mis-listing",HPR-009,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Apptronik,Apollo,"Mercedes-Benz (Digital Factory Campus Berlin-Marienfelde; Kecskemet, Hungary)",Automotive manufacturing,Germany / Hungary,2024-03-15,https://apptronik.com/news-collection/apptronik-and-mercedes-benz-enter-commercial-agreement,press_release,pilot_on_site,"2024-03-15 commercial agreement announced (Apptronik PR; prnewswire); 2025-03-18 Reuters: handful of Apollo robots at Berlin + Kecskemet sites, trained via teleoperation; Mercedes took low double-digit million-euro stake in Apptronik (reuters.com 2025-03-18)","A handful (Reuters, Mar 2025)",Moving components to production line; kitting/tote delivery; quality checks,,Teleoperation training with goal of autonomy (Reuters),Robots on site at two plants (Reuters),,,'Commercial agreement' framing by Apptronik; whether Mercedes pays for deployment vs R&D collaboration undisclosed. Mercedes is also an investor - independence caveat,HPR-010,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,TRUE,strategic partnership/investment (Mercedes-Benz tech investor in Apptronik),FALSE,2024-03-15,https://apptronik.com/news-collection/apptronik-and-mercedes-benz-enter-commercial-agreement,,,unverified,
